ID,target
000137c73,3510077.8600516184
00021489f,2026479.9567470208
0004d7953,1851023.5344673593
00056a333,4589068.376348877
00056d8eb,717018.3224710228
0005fc190,2209449.1517972453
000787e86,4788004.747717343
0008510a0,4019900.4849052094
000895faf,4005902.88667339
000986fba,3605334.646107866
0009efcc5,2856863.8816957935
000dd8f00,1961864.7525137574
000e1cdc2,3702751.3317842423
00103739c,751031.3201798806
00134b367,4585222.724061924
001788d0d,1039300.5345882822
0019c8ad7,3542742.1103785387
001a267b9,1394794.3289118852
001a85486,3348903.9133981047
001c4de06,4663319.896038517
001f9014b,2009040.0310613639
00216fb94,4428510.0350699695
00235690e,4858944.592134177
00240739d,4713357.087951018
0024c3747,4716068.012644145
00297052d,4741913.548374706
002ab8f85,4726936.831229943
002bed5c0,3661287.379291202
002bf3974,6421606.279201852
002d23a26,5062962.217231607
002f27de9,4243181.551310467
0030d8bb4,4273356.046059194
003146acd,1434183.352710973
003223263,1639544.462161205
00335575e,2563369.5110856807
00337cf9d,3092049.8322997056
003394397,4059796.7176609025
0036358a3,4172099.1455095075
003770d30,3251414.235451769
003bed5ea,1729637.6062966385
003ea6427,2975256.634896277
003ef8132,2635888.2811569246
003fd1723,3594095.4331421307
0041861b4,897893.518600885
0042b718b,1849045.3084497794
004381d8f,3417262.00478789
0043ca764,3395794.4435637407
004486837,2466579.2078982284
0045c123e,3664747.927650398
0048915c6,4500426.910960119
004ab9a09,2298026.2220533104
004b2e1c9,3451284.6267811516
004c54732,1162547.5815080232
004cdefce,4718475.482001336
004dd971b,3938257.016615846
004f9329b,4218437.288109275
004fd2bca,754777.5012543614
0054bfedb,1471843.2379159078
0054ec58a,975441.0333898237
00551f45d,14921876.435920736
005777b4c,3136072.5722105335
00578d6ea,4925614.775998331
005802488,4742596.175376263
0059833b6,1271164.7516012911
005a70085,4631911.7570861755
005b148a0,960143.0976810356
005c28df4,2287988.954946059
005f8dc26,4455863.724113742
00603c202,5794428.3490330465
006049609,3901104.2039623125
00612f47e,799021.6669672483
00647a57f,4957053.993478157
0065853ee,1323726.3796157895
006589d5e,1966348.7092530453
006598823,3609849.6416645185
0065c093c,1938016.7712218855
006738351,3313933.4901395305
006a0c6a8,1768773.8316676388
006e9efe6,3759291.0331945186
006f029d3,1563689.6105011029
0070f35a2,3605457.6240803525
007135f85,884780.3237241901
007285433,5927658.354153052
00735e101,3077777.404431008
0074ecf4e,4265040.730835247
007635fa9,3014799.6956285983
007723613,4623666.982155385
007867da9,833779.7459308958
0078bfbd6,1812701.6783813841
0078ce229,1323726.3796157895
007a89d50,2050641.881481661
007d43dfa,4081699.0649618506
007ee9e05,4047534.830894763
007ffeae2,4155055.599001394
00835c85c,5333378.469591443
0084b08f1,4478075.58670144
0087fb290,806376.7876291672
0088a96bd,2265880.810042635
008ac4292,3321992.129494018
008d8cca8,4979588.252351323
008e07b8c,3523740.68291045
008e5e25a,4956508.048081393
0094edcdb,4170395.1973302304
00950141c,4581068.075024279
009566ef1,4523321.276107798
0095c81d4,1323726.3796157895
0097a6ed4,2884503.405268556
0098fef9a,2078333.7842056523
009b321ec,6302601.9418725725
009cd681e,4290703.768356244
009f34f86,2436618.6963012563
009f35cd3,3158192.0059965895
009f65109,3305659.004932787
00a19014a,2323023.9125799946
00a27e76a,1233310.451714512
00a3b6ef7,4696240.6518209195
00a427603,2037766.740024448
00a6dc8be,4764905.246086146
00a811734,5107644.306969138
00a8f58a7,1886827.3965730197
00aaae151,4210253.82182152
00ab17f67,4542456.671001578
00ac2d3a5,3520697.8687954843
00adab1b6,2656265.028450604
00aef0d56,1300780.9991725502
00b0b06c4,1471890.3524321963
00b0e2303,3106118.8720875834
00b1fbbc9,1805919.0740242903
00b43e0c1,5774197.877074659
00b7190a8,4909481.411311
00b722e1b,2322447.8009279696
00bba815f,3779414.6586066596
00bbb1c42,4914502.380296333
00bc2b665,1928106.9789148376
00bc35689,2453603.1254015984
00be23f52,3872307.062701188
00be24ac5,3310143.0041620173
00bfd0f70,4264089.207928626
00c02f73e,4926694.437197253
00c08e5b3,4557157.118532443
00c8690ff,4657359.133883869
00c8df4d5,3275215.0628136867
00c8e30de,4126394.911878951
00ca3fb04,2399672.7707920987
00cabf621,1711898.8968748506
00cb48ae3,1788368.7189884863
00cb6b147,3752716.575668048
00cc91a22,4582042.327687234
00cd65e9d,3283472.577389828
00cd7d6a8,1180946.3270651102
00cdc1483,860138.0071539504
00ce9bea5,2429954.90559984
00cea0091,4766995.522915116
00cea68c6,3212661.043115803
00d5a5975,4028154.1906566666
00d80a3a4,22425921.91079274
00d9f3864,941179.8427494544
00da4bd31,4142476.32069185
00df4dd77,757950.9746765841
00e1a55bf,901458.5390325233
00e332971,1351134.4267600465
00e5b6b1b,5556168.6420618035
00e85d5e3,3805089.708757607
00e90abfa,3166508.069392004
00e9708b4,4107789.952039987
00e9c680f,7271877.056106284
00eaa4394,5072992.283746001
00eae8832,3020879.9755366063
00ebefdc0,3918467.4800854935
00ecbcb1b,1762981.6412294018
00ed49382,8196007.316439581
00ed87564,2140527.393887625
00ef96cfd,96537.4125399009
00efe7ca3,4278455.460952754
00f36aa18,4952966.301419969
00f3fb071,4431413.743972372
00f43f548,2679285.1930180406
00f4d58ec,1323726.3796157895
00f56e106,2443330.674779858
00f84d8c2,3430591.8816336007
00f92953b,2294081.867862269
00fa1d469,4059120.0565298214
00ff96f49,2690309.4439318175
0100ce0d8,4489930.057300018
0102ea9e1,4342313.7996713435
0104b3af3,4057571.2666584663
010672441,1323726.3796157895
010771ca5,2699278.4120958103
0108aea9f,768971.291320181
010a479e1,3993001.2858402417
010d0a2dd,6351261.677859881
010e3cea2,670326.6178102093
010e5417b,2991239.5522644822
01108a561,756639.5479413532
0110cca98,1533829.382438296
